assembly	position	strand	class	mc	h
1	223968	+	CG	14	23
1	224018	+	CG	17	26
1	225711	+	CG	8	26
1	225749	+	CG	5	25
1	225777	+	CG	10	37
1	225818	+	CG	12	29
1	228221	+	CG	7	22
1	228599	+	CG	11	30
1	228803	+	CG	11	32
1	229100	+	CG	16	28
1	229181	+	CG	12	31
1	230325	+	CG	18	30
1	230455	+	CG	17	21
1	230730	+	CG	27	32
1	230992	+	CG	8	15
1	231289	+	CG	19	23
1	231368	+	CG	23	32
1	233126	+	CG	16	29
1	233242	+	CG	9	20
1	233681	+	CG	11	30
1	233920	+	CG	10	20
1	234002	+	CG	18	34
1	245156	+	CG	17	36
1	245398	+	CG	5	30
1	245489	+	CG	10	31
1	245888	+	CG	4	23
1	246022	+	CG	6	25
1	248705	+	CG	7	28
1	248896	+	CG	7	23
1	249042	+	CG	3	30
1	249540	+	CG	8	31
1	251676	+	CG	10	31
1	251720	+	CG	9	26
1	251748	+	CG	15	32
1	251789	+	CG	10	30
1	254918	+	CG	27	31
1	255363	+	CG	19	28
1	255757	+	CG	21	24
1	255817	+	CG	22	29
1	262383	+	CG	14	22
1	262462	+	CG	23	34
1	262799	+	CG	21	28
1	263060	+	CG	14	25
1	264968	+	CG	23	29
1	265451	+	CG	24	30
1	265690	+	CG	24	31
1	265751	+	CG	24	31
1	265809	+	CG	17	20
1	271530	+	CG	24	31
1	271969	+	CG	18	23
1	272182	+	CG	21	27
1	272284	+	CG	21	27
1	272357	+	CG	19	23
