chr	pos	strand	context	meth_count	coverage
1	198042	+	CG	16	26
1	198333	+	CG	12	25
1	198739	+	CG	13	25
1	199001	+	CG	19	36
1	200983	+	CG	11	28
1	201073	+	CG	22	38
1	201132	+	CG	10	31
1	201313	+	CG	13	33
1	203040	+	CG	12	25
1	203462	+	CG	7	24
1	203823	+	CG	12	30
1	203940	+	CG	11	31
1	210683	+	CG	17	35
1	210860	+	CG	16	29
1	210968	+	CG	13	25
1	211031	+	CG	18	28
1	211554	+	CG	22	32
1	211635	+	CG	15	30
1	212381	+	CG	16	41
1	212682	+	CG	8	23
1	212834	+	CG	10	39
1	212946	+	CG	7	21
1	214060	+	CG	15	26
1	214475	+	CG	21	28
1	214752	+	CG	21	31
1	214846	+	CG	22	36
1	215070	+	CG	19	35
1	216962	+	CG	22	26
1	216998	+	CG	23	26
1	217018	+	CG	22	27
1	217039	+	CG	19	24
1	217051	+	CG	34	35
1	217098	+	CG	23	24
1	217145	+	CG	27	33
1	217191	+	CG	23	31
1	217233	+	CG	21	30
1	217271	+	CG	27	33
1	217305	+	CG	29	38
1	217321	+	CG	21	28
1	217330	+	CG	31	32
1	217344	+	CG	21	26
1	217354	+	CG	35	38
1	217371	+	CG	24	29
1	217404	+	CG	28	32
1	217407	+	CG	30	31
1	217432	+	CG	18	21
1	217469	+	CG	24	29
1	217507	+	CG	21	32
1	217532	+	CG	37	40
1	217563	+	CG	29	30
1	217600	+	CG	27	30
1	217610	+	CG	19	22
1	217651	+	CG	20	24
1	217658	+	CG	25	31
1	217664	+	CG	24	30
1	217685	+	CG	23	28
1	217712	+	CG	20	23
1	217759	+	CG	28	32
1	217807	+	CG	25	29
1	217874	+	CG	20	23
1	217930	+	CG	19	24
1	217968	+	CG	20	25
1	217974	+	CG	30	34
1	217984	+	CG	33	38
1	218006	+	CG	12	18
1	218018	+	CG	19	28
1	218020	+	CG	32	36
1	218853	+	CG	21	34
1	219080	+	CG	17	26
1	219395	+	CG	24	32
1	219590	+	CG	17	29
1	219748	+	CG	17	30
1	222887	+	CG	10	32
1	223359	+	CG	15	27
1	223851	+	CG	6	22
1	223908	+	CG	12	30
1	223968	+	CG	14	39
1	224018	+	CG	9	30
1	225711	+	CG	7	29
1	225749	+	CG	5	26
1	225777	+	CG	10	31
1	225818	+	CG	4	27
1	228221	+	CG	6	35
1	228599	+	CG	6	31
1	228803	+	CG	4	28
1	229100	+	CG	2	29
1	229181	+	CG	4	37
1	230325	+	CG	22	32
1	230730	+	CG	15	20
1	230992	+	CG	20	35
1	231289	+	CG	20	26
1	231368	+	CG	20	31
1	233126	+	CG	16	29
1	233242	+	CG	7	25
1	233681	+	CG	15	28
1	233920	+	CG	12	29
1	234002	+	CG	17	31
1	245156	+	CG	3	28
1	245398	+	CG	2	31
1	245489	+	CG	1	31
1	245888	+	CG	1	37
1	246022	+	CG	0	28
1	248705	+	CG	13	31
1	248896	+	CG	6	29
1	249042	+	CG	9	29
1	249540	+	CG	7	26
1	251676	+	CG	13	33
1	251720	+	CG	10	28
1	251748	+	CG	15	35
1	251789	+	CG	14	37
1	254918	+	CG	26	29
1	255363	+	CG	24	30
1	255757	+	CG	22	31
1	255817	+	CG	19	24
1	262383	+	CG	26	30
1	262462	+	CG	17	26
1	262799	+	CG	23	28
1	263060	+	CG	21	32
1	264968	+	CG	17	18
1	265690	+	CG	31	31
1	265751	+	CG	24	24
1	265809	+	CG	34	34
1	271530	+	CG	19	28
1	271969	+	CG	21	33
1	272182	+	CG	15	28
1	272284	+	CG	16	26
1	272357	+	CG	9	20
