chr	pos	strand	context	meth_count	coverage
1	233126	+	CG	17	33
1	233242	+	CG	9	20
1	233681	+	CG	17	45
1	233920	+	CG	10	20
1	234002	+	CG	21	40
1	245156	+	CG	18	36
1	245398	+	CG	2	33
1	245489	+	CG	10	28
1	245888	+	CG	3	22
1	246022	+	CG	9	36
1	248705	+	CG	5	24
1	248896	+	CG	8	31
1	249042	+	CG	3	27
1	249540	+	CG	9	36
1	251676	+	CG	7	24
1	251720	+	CG	10	34
1	251748	+	CG	15	30
1	251789	+	CG	14	36
1	254918	+	CG	30	32
1	255757	+	CG	32	35
1	255817	+	CG	23	29
1	262383	+	CG	26	39
1	262462	+	CG	22	31
1	262799	+	CG	18	25
1	264968	+	CG	21	26
1	265451	+	CG	26	31
1	265690	+	CG	13	17
1	265751	+	CG	23	30
1	265809	+	CG	26	33
1	271530	+	CG	19	26
1	271969	+	CG	18	25
1	272182	+	CG	22	29
1	272284	+	CG	24	32
1	272357	+	CG	28	33
