chr	pos	strand	context	meth_count	coverage
1	195105	+	CG	1	27
1	195378	+	CG	6	32
1	195439	+	CG	9	28
1	196498	+	CG	11	38
1	196545	+	CG	4	23
1	196588	+	CG	3	26
1	196611	+	CG	7	31
1	198042	+	CG	17	30
1	198333	+	CG	16	36
1	198739	+	CG	17	35
1	199001	+	CG	16	30
1	200983	+	CG	9	24
1	201073	+	CG	17	30
1	201132	+	CG	8	32
1	201313	+	CG	12	30
1	203040	+	CG	17	32
1	203462	+	CG	5	25
1	203823	+	CG	10	25
1	203940	+	CG	16	33
1	210683	+	CG	13	27
1	210860	+	CG	13	23
1	210968	+	CG	15	31
1	211031	+	CG	22	32
1	211457	+	CG	16	27
1	211554	+	CG	24	31
1	211635	+	CG	16	34
1	212381	+	CG	12	27
1	212682	+	CG	7	17
1	212834	+	CG	6	24
1	212946	+	CG	7	22
1	214060	+	CG	19	35
1	214475	+	CG	21	29
1	214752	+	CG	19	26
1	214846	+	CG	20	33
1	215070	+	CG	17	30
1	216962	+	CG	27	30
1	216998	+	CG	31	34
1	217018	+	CG	25	32
1	217039	+	CG	21	28
1	217051	+	CG	31	32
1	217145	+	CG	30	35
1	217191	+	CG	20	25
1	217233	+	CG	19	26
1	217246	+	CG	22	26
1	217271	+	CG	18	22
1	217305	+	CG	20	27
1	217321	+	CG	20	28
1	217330	+	CG	29	30
1	217344	+	CG	29	34
1	217354	+	CG	15	17
1	217371	+	CG	23	28
1	217404	+	CG	24	27
1	217407	+	CG	31	32
1	217432	+	CG	17	21
1	217469	+	CG	27	32
1	217507	+	CG	18	29
1	217563	+	CG	26	27
1	217600	+	CG	28	32
1	217610	+	CG	28	32
1	217651	+	CG	18	21
1	217658	+	CG	22	28
1	217664	+	CG	33	38
1	217685	+	CG	21	28
1	217712	+	CG	29	35
1	217759	+	CG	22	26
1	217807	+	CG	20	24
1	217839	+	CG	22	25
1	217874	+	CG	21	24
1	217902	+	CG	25	28
1	217930	+	CG	21	27
1	217974	+	CG	25	28
1	218006	+	CG	21	31
1	218018	+	CG	19	26
1	218020	+	CG	20	23
1	218853	+	CG	18	30
1	219080	+	CG	17	27
1	219395	+	CG	21	29
1	219590	+	CG	21	36
1	219748	+	CG	17	32
1	222887	+	CG	9	27
1	223359	+	CG	14	25
1	223851	+	CG	10	36
1	223908	+	CG	12	31
1	223968	+	CG	6	17
1	224018	+	CG	13	33
1	225711	+	CG	7	29
1	225749	+	CG	4	24
1	225777	+	CG	10	34
1	225818	+	CG	6	37
1	228221	+	CG	9	37
1	228599	+	CG	3	32
1	228803	+	CG	4	27
1	229100	+	CG	3	34
1	229181	+	CG	3	32
1	230325	+	CG	17	24
1	230455	+	CG	20	28
1	230730	+	CG	26	34
1	230992	+	CG	16	30
1	231289	+	CG	26	34
1	231368	+	CG	18	31
1	233126	+	CG	14	28
1	233242	+	CG	7	25
1	233681	+	CG	17	33
1	233920	+	CG	8	20
1	234002	+	CG	17	31
1	245156	+	CG	0	28
1	245398	+	CG	2	27
1	245489	+	CG	0	14
1	245888	+	CG	2	27
1	246022	+	CG	0	27
1	248705	+	CG	13	30
1	248896	+	CG	5	26
1	249042	+	CG	5	22
1	249540	+	CG	6	27
1	251676	+	CG	11	25
1	251720	+	CG	8	27
1	251748	+	CG	12	30
1	251789	+	CG	8	22
1	254918	+	CG	22	27
1	255363	+	CG	22	25
1	255757	+	CG	25	36
1	255817	+	CG	16	20
1	262383	+	CG	22	26
1	262462	+	CG	27	38
1	262799	+	CG	23	28
1	263060	+	CG	18	28
1	265690	+	CG	23	23
1	265751	+	CG	25	25
1	265809	+	CG	36	36
1	271530	+	CG	13	23
1	271969	+	CG	16	28
1	272182	+	CG	11	23
1	272284	+	CG	20	31
1	272357	+	CG	11	26
