assembly	position	strand	class	mc	h
1	111255	+	CG	27	33
1	111305	+	CG	14	27
1	111318	+	CG	19	24
1	111418	+	CG	29	37
1	111468	+	CG	31	37
1	111547	+	CG	19	24
1	111647	+	CG	32	37
1	111708	+	CG	27	29
1	111808	+	CG	29	35
1	111893	+	CG	27	32
1	111931	+	CG	23	31
1	111971	+	CG	31	33
1	111995	+	CG	2	34
1	112029	+	CG	4	34
1	112067	+	CG	2	27
1	112103	+	CG	2	35
1	112128	+	CG	0	36
1	112170	+	CG	4	37
1	112186	+	CG	3	31
1	112233	+	CG	4	25
1	112257	+	CG	4	31
1	112292	+	CG	4	25
1	112317	+	CG	2	32
1	112367	+	CG	3	27
1	112404	+	CG	4	34
1	112435	+	CG	4	22
1	112535	+	CG	3	22
1	112622	+	CG	6	27
1	112722	+	CG	3	28
1	112822	+	CG	3	27
1	112920	+	CG	0	40
1	112928	+	CG	8	31
1	112978	+	CG	6	30
1	113006	+	CG	6	29
1	113021	+	CG	7	30
1	113045	+	CG	9	21
1	113081	+	CG	11	31
1	113104	+	CG	9	29
1	113134	+	CG	7	25
1	113177	+	CG	9	29
1	113204	+	CG	7	27
1	113223	+	CG	12	36
1	113249	+	CG	6	31
1	113299	+	CG	9	34
1	113349	+	CG	8	35
1	113364	+	CG	10	23
1	113414	+	CG	7	31
1	113448	+	CG	8	25
1	113461	+	CG	9	29
1	113533	+	CG	12	38
1	113583	+	CG	10	32
1	113683	+	CG	6	31
1	113740	+	CG	10	28
1	113790	+	CG	11	33
1	113840	+	CG	7	24
1	113940	+	CG	9	29
1	113960	+	CG	6	25
1	114012	+	CG	0	31
1	114032	+	CG	4	33
1	114086	+	CG	0	33
1	114096	+	CG	7	35
1	114116	+	CG	1	29
1	114216	+	CG	4	27
1	114298	+	CG	3	32
1	114404	+	CG	1	21
1	114437	+	CG	12	21
1	114452	+	CG	16	22
1	114496	+	CG	23	36
1	114524	+	CG	19	28
1	114553	+	CG	19	26
1	114603	+	CG	22	34
1	114618	+	CG	17	30
1	114635	+	CG	20	28
1	114670	+	CG	9	20
1	114685	+	CG	20	29
1	114707	+	CG	15	30
1	114756	+	CG	24	35
1	114784	+	CG	24	34
1	114799	+	CG	23	31
1	114832	+	CG	24	35
1	114857	+	CG	17	25
1	114878	+	CG	18	27
1	114928	+	CG	12	22
1	114951	+	CG	32	41
1	115035	+	CG	26	35
1	115135	+	CG	22	33
1	115219	+	CG	22	38
1	115292	+	CG	14	26
1	115392	+	CG	21	32
1	115462	+	CG	20	27
1	115464	+	CG	19	25
1	115491	+	CG	22	29
1	115528	+	CG	19	37
1	115563	+	CG	16	33
1	115582	+	CG	14	30
1	115602	+	CG	18	26
1	115652	+	CG	14	27
1	115692	+	CG	13	29
1	115739	+	CG	9	26
1	115772	+	CG	13	27
1	115809	+	CG	17	29
1	115837	+	CG	22	32
1	115867	+	CG	14	21
1	115891	+	CG	15	25
1	115941	+	CG	21	39
1	115962	+	CG	16	34
1	115997	+	CG	20	32
1	116025	+	CG	11	21
1	116059	+	CG	17	33
1	116159	+	CG	27	41
1	116259	+	CG	25	34
1	116359	+	CG	11	18
1	116414	+	CG	20	41
1	116514	+	CG	13	28
1	116608	+	CG	14	23
1	116626	+	CG	13	27
1	116676	+	CG	20	30
1	116726	+	CG	19	31
1	116744	+	CG	9	17
1	116764	+	CG	15	33
1	116814	+	CG	25	34
1	116832	+	CG	16	28
1	116855	+	CG	15	28
1	116905	+	CG	17	28
1	116955	+	CG	16	31
1	116970	+	CG	17	27
1	117014	+	CG	17	26
1	117041	+	CG	15	29
1	117069	+	CG	24	31
1	117119	+	CG	24	31
1	117144	+	CG	13	33
1	117167	+	CG	16	31
1	117193	+	CG	13	23
1	117202	+	CG	19	30
1	117302	+	CG	15	24
1	117402	+	CG	20	28
1	117502	+	CG	23	31
1	117601	+	CG	24	33
1	117701	+	CG	20	33
1	117745	+	CG	20	30
1	117750	+	CG	16	30
1	117765	+	CG	11	25
1	117809	+	CG	8	23
1	117846	+	CG	18	33
1	117891	+	CG	14	33
1	117932	+	CG	13	29
1	117965	+	CG	10	28
1	118009	+	CG	26	38
1	118033	+	CG	8	20
1	118073	+	CG	17	36
1	118096	+	CG	19	36
1	118137	+	CG	14	28
1	118164	+	CG	16	29
1	118202	+	CG	17	32
1	118209	+	CG	19	35
1	118294	+	CG	16	31
1	118381	+	CG	20	36
1	118431	+	CG	16	27
1	118531	+	CG	16	32
1	118631	+	CG	14	35
1	118633	+	CG	27	33
1	118717	+	CG	23	30
1	118803	+	CG	21	26
1	118807	+	CG	20	29
1	119041	+	CG	28	31
1	119053	+	CG	1	24
1	119068	+	CG	3	30
1	119092	+	CG	6	39
1	119110	+	CG	6	34
1	119160	+	CG	0	28
1	119206	+	CG	4	36
1	119224	+	CG	2	29
1	119263	+	CG	5	29
1	119280	+	CG	0	29
1	119295	+	CG	2	25
1	119316	+	CG	8	34
1	119344	+	CG	7	32
1	119380	+	CG	0	33
1	119426	+	CG	1	30
1	119451	+	CG	0	32
1	119493	+	CG	2	29
1	119508	+	CG	4	24
1	119546	+	CG	3	32
1	119596	+	CG	2	33
1	119670	+	CG	4	30
1	119736	+	CG	3	29
1	119786	+	CG	3	23
1	119886	+	CG	1	28
1	119986	+	CG	4	34
1	120036	+	CG	6	29
1	120046	+	CG	7	34
1	120088	+	CG	1	27
1	120134	+	CG	20	25
1	120184	+	CG	19	25
1	120225	+	CG	22	26
1	120256	+	CG	13	21
1	120284	+	CG	17	26
1	120333	+	CG	10	16
1	120355	+	CG	20	34
1	120370	+	CG	19	29
1	120401	+	CG	22	30
1	120451	+	CG	15	20
1	120501	+	CG	22	30
1	120529	+	CG	23	28
1	120560	+	CG	18	29
1	120599	+	CG	18	28
1	120615	+	CG	17	24
1	120715	+	CG	17	26
1	120810	+	CG	23	28
1	120910	+	CG	24	28
1	121010	+	CG	17	28
1	121060	+	CG	19	25
1	121084	+	CG	27	33
1	121125	+	CG	17	33
1	121158	+	CG	18	32
1	121205	+	CG	23	42
1	121221	+	CG	22	34
1	121248	+	CG	12	26
1	121274	+	CG	20	34
1	121306	+	CG	11	23
1	121356	+	CG	18	22
1	121378	+	CG	21	37
1	121419	+	CG	13	29
1	121469	+	CG	14	38
1	121489	+	CG	20	29
1	121521	+	CG	10	28
1	121553	+	CG	12	30
1	121569	+	CG	15	31
1	121609	+	CG	23	33
1	121709	+	CG	17	32
1	121776	+	CG	15	24
1	121860	+	CG	19	36
1	121910	+	CG	12	21
1	122010	+	CG	18	31
1	122064	+	CG	23	31
1	122089	+	CG	5	31
1	122134	+	CG	2	26
1	122154	+	CG	5	22
1	122185	+	CG	8	28
1	122203	+	CG	4	23
1	122229	+	CG	8	32
1	122253	+	CG	3	22
1	122282	+	CG	6	31
1	122332	+	CG	7	25
1	122382	+	CG	5	26
1	122410	+	CG	4	36
1	122437	+	CG	5	23
1	122458	+	CG	5	28
1	122476	+	CG	10	37
1	122504	+	CG	0	31
1	122531	+	CG	2	29
1	122581	+	CG	6	27
1	122681	+	CG	4	36
1	122781	+	CG	7	27
1	122831	+	CG	5	28
1	122931	+	CG	11	35
1	122965	+	CG	8	30
1	122967	+	CG	0	36
1	122972	+	CG	8	31
1	122987	+	CG	5	19
1	123020	+	CG	10	35
1	123062	+	CG	6	20
1	123097	+	CG	6	22
1	123118	+	CG	12	31
1	123140	+	CG	16	35
1	123190	+	CG	10	32
1	123226	+	CG	9	25
1	123241	+	CG	13	35
1	123264	+	CG	7	28
1	123291	+	CG	8	25
1	123307	+	CG	11	38
1	123335	+	CG	4	21
1	123358	+	CG	7	38
1	123391	+	CG	9	34
1	123417	+	CG	11	36
1	123438	+	CG	9	27
1	123463	+	CG	11	31
1	123490	+	CG	10	31
1	123590	+	CG	9	27
1	123678	+	CG	10	34
1	123778	+	CG	8	28
1	123878	+	CG	7	27
1	123929	+	CG	12	40
1	123963	+	CG	1	35
1	123967	+	CG	0	30
1	124047	+	CG	7	33
1	124195	+	CG	0	26
1	124263	+	CG	3	31
1	124373	+	CG	2	35
1	124415	+	CG	3	35
1	124435	+	CG	21	35
1	124458	+	CG	17	25
1	124489	+	CG	14	28
1	124512	+	CG	21	31
1	124545	+	CG	14	21
1	124576	+	CG	15	30
1	124596	+	CG	16	26
1	124641	+	CG	15	27
1	124656	+	CG	16	27
1	124706	+	CG	14	29
1	124741	+	CG	17	26
1	124781	+	CG	14	28
1	124796	+	CG	13	20
1	124825	+	CG	17	30
1	124875	+	CG	14	28
1	124903	+	CG	11	20
1	124935	+	CG	24	32
1	124952	+	CG	18	30
1	124967	+	CG	17	25
1	124969	+	CG	20	27
1	125036	+	CG	23	35
1	125108	+	CG	18	30
1	125208	+	CG	13	21
1	125308	+	CG	8	18
1	125408	+	CG	21	38
1	125462	+	CG	16	24
1	125496	+	CG	20	24
1	125519	+	CG	25	38
1	125535	+	CG	20	32
1	125560	+	CG	21	29
1	125604	+	CG	18	26
1	125648	+	CG	13	20
1	125672	+	CG	30	50
1	125692	+	CG	16	28
1	125710	+	CG	20	29
1	125738	+	CG	24	30
1	125770	+	CG	23	30
1	125820	+	CG	15	26
1	125852	+	CG	15	24
1	125893	+	CG	31	36
1	125913	+	CG	19	23
1	125944	+	CG	19	28
1	125976	+	CG	18	30
1	126004	+	CG	13	26
1	126022	+	CG	21	33
1	126122	+	CG	16	31
1	126222	+	CG	20	29
1	126322	+	CG	20	34
1	126372	+	CG	13	26
1	126472	+	CG	21	31
1	126522	+	CG	16	28
1	126544	+	CG	27	28
1	126606	+	CG	26	35
1	126645	+	CG	13	23
1	126679	+	CG	10	25
1	126702	+	CG	17	35
1	126745	+	CG	20	32
1	126760	+	CG	19	30
1	126810	+	CG	17	31
1	126826	+	CG	16	32
1	126844	+	CG	13	29
1	126881	+	CG	21	39
1	126920	+	CG	13	23
1	126970	+	CG	17	26
1	127005	+	CG	18	29
1	127034	+	CG	14	27
1	127067	+	CG	16	35
1	127117	+	CG	20	29
1	127125	+	CG	15	25
1	127215	+	CG	21	35
1	127315	+	CG	15	26
1	127411	+	CG	18	29
1	127506	+	CG	21	32
1	127524	+	CG	17	29
1	127533	+	CG	2	30
1	127574	+	CG	6	28
1	127624	+	CG	7	32
1	127653	+	CG	6	30
1	127670	+	CG	9	25
1	127720	+	CG	12	29
1	127762	+	CG	7	20
1	127779	+	CG	13	37
1	127807	+	CG	14	46
1	127845	+	CG	8	29
1	127866	+	CG	13	28
1	127882	+	CG	6	28
1	127927	+	CG	8	22
1	127942	+	CG	10	29
1	127965	+	CG	10	41
1	127988	+	CG	9	27
1	128006	+	CG	17	34
1	128031	+	CG	7	27
1	128058	+	CG	13	36
1	128073	+	CG	13	29
1	128107	+	CG	15	30
1	128108	+	CG	10	27
1	128208	+	CG	6	26
1	128305	+	CG	8	32
1	128355	+	CG	8	28
1	128455	+	CG	15	31
1	128555	+	CG	8	26
1	128655	+	CG	9	32
1	128659	+	CG	20	30
1	128753	+	CG	16	26
1	128771	+	CG	20	27
1	128791	+	CG	14	30
1	128875	+	CG	16	26
1	128919	+	CG	14	28
1	128951	+	CG	15	26
1	129137	+	CG	20	24
1	129187	+	CG	7	23
1	129205	+	CG	16	39
1	129254	+	CG	20	27
1	129271	+	CG	29	41
1	129305	+	CG	20	27
1	129325	+	CG	16	36
1	129351	+	CG	14	30
1	129366	+	CG	13	30
1	129394	+	CG	14	23
1	129436	+	CG	32	39
1	129486	+	CG	18	27
1	129515	+	CG	20	39
1	129531	+	CG	22	27
1	129576	+	CG	7	25
1	129612	+	CG	9	29
1	129640	+	CG	19	31
1	129663	+	CG	8	21
1	129671	+	CG	17	27
1	129771	+	CG	16	29
1	129871	+	CG	30	37
1	129931	+	CG	23	29
1	129998	+	CG	18	30
1	130085	+	CG	12	32
1	130135	+	CG	14	25
1	130233	+	CG	14	20
1	130266	+	CG	21	36
1	130288	+	CG	20	33
1	130336	+	CG	13	29
1	130364	+	CG	20	37
1	130387	+	CG	12	27
1	130437	+	CG	13	27
1	130452	+	CG	12	27
1	130502	+	CG	9	32
1	130552	+	CG	15	34
1	130571	+	CG	13	29
1	130593	+	CG	9	23
1	130610	+	CG	18	30
1	130656	+	CG	12	25
1	130678	+	CG	17	31
1	130706	+	CG	19	37
1	130747	+	CG	17	32
1	130762	+	CG	14	25
1	130770	+	CG	16	32
1	130870	+	CG	8	22
1	130949	+	CG	13	25
1	131004	+	CG	12	25
1	131104	+	CG	10	26
1	131197	+	CG	14	32
1	131255	+	CG	11	27
1	131281	+	CG	7	19
1	131319	+	CG	27	46
1	131334	+	CG	4	31
1	131384	+	CG	7	28
1	131412	+	CG	15	24
1	131428	+	CG	34	36
1	131473	+	CG	21	28
1	131488	+	CG	8	37
1	131505	+	CG	19	24
1	131535	+	CG	3	27
1	131565	+	CG	2	34
1	131598	+	CG	1	27
1	131648	+	CG	4	25
1	131679	+	CG	3	26
1	131701	+	CG	0	19
1	131723	+	CG	20	36
1	131747	+	CG	8	27
1	131763	+	CG	18	33
1	131803	+	CG	8	24
1	131805	+	CG	0	23
1	131905	+	CG	23	33
1	132005	+	CG	19	35
1	132105	+	CG	1	22
1	132155	+	CG	16	32
1	132239	+	CG	6	24
1	132277	+	CG	39	39
1	132331	+	CG	9	37
1	132345	+	CG	29	31
1	132395	+	CG	16	17
1	132445	+	CG	26	33
1	132478	+	CG	19	23
1	132502	+	CG	27	33
1	132552	+	CG	19	25
1	132567	+	CG	21	26
1	132617	+	CG	21	25
1	132667	+	CG	18	19
1	132707	+	CG	22	25
1	132724	+	CG	19	27
1	132774	+	CG	17	19
1	132788	+	CG	27	35
1	132880	+	CG	27	34
1	132936	+	CG	26	31
1	132986	+	CG	24	29
1	133086	+	CG	29	36
1	133182	+	CG	19	25
1	133196	+	CG	33	33
1	133242	+	CG	23	31
1	133250	+	CG	15	26
1	133280	+	CG	15	25
1	133295	+	CG	21	37
1	133335	+	CG	14	29
1	133384	+	CG	17	26
1	133409	+	CG	23	33
1	133429	+	CG	20	34
1	133479	+	CG	17	26
1	133511	+	CG	26	36
1	133540	+	CG	15	28
1	133569	+	CG	15	29
1	133619	+	CG	11	23
1	133653	+	CG	20	35
1	133690	+	CG	16	30
1	133718	+	CG	21	36
1	133734	+	CG	14	34
1	133817	+	CG	17	31
1	133917	+	CG	9	18
1	133968	+	CG	9	19
1	134068	+	CG	21	34
1	134148	+	CG	16	29
1	134164	+	CG	30	39
1	134186	+	CG	24	26
1	134284	+	CG	25	28
1	134306	+	CG	24	33
1	134418	+	CG	27	34
1	134454	+	CG	20	29
1	134538	+	CG	30	32
1	134594	+	CG	27	31
1	134612	+	CG	19	29
1	134622	+	CG	1	33
1	134637	+	CG	4	29
1	134672	+	CG	0	30
1	134687	+	CG	2	30
1	134702	+	CG	1	31
1	134719	+	CG	2	30
1	134750	+	CG	3	23
1	134783	+	CG	1	30
1	134833	+	CG	1	22
1	134849	+	CG	3	28
1	134870	+	CG	7	40
1	134920	+	CG	8	35
1	134959	+	CG	7	31
1	134994	+	CG	6	24
1	135023	+	CG	11	37
1	135060	+	CG	12	43
1	135090	+	CG	13	31
1	135122	+	CG	9	30
1	135160	+	CG	11	27
1	135169	+	CG	6	27
1	135269	+	CG	1	21
1	135319	+	CG	0	18
1	135419	+	CG	2	19
1	135493	+	CG	0	27
1	135593	+	CG	4	30
1	135643	+	CG	4	26
1	135793	+	CG	0	32
1	135809	+	CG	4	32
1	135819	+	CG	3	23
1	135973	+	CG	0	30
1	136047	+	CG	6	31
1	136057	+	CG	19	36
1	136079	+	CG	14	24
1	136113	+	CG	21	27
1	136146	+	CG	16	22
1	136178	+	CG	15	24
1	136199	+	CG	24	34
1	136214	+	CG	13	22
1	136234	+	CG	17	34
1	136279	+	CG	21	31
1	136329	+	CG	15	36
1	136368	+	CG	23	39
1	136393	+	CG	17	29
1	136438	+	CG	14	23
1	136453	+	CG	17	23
1	136483	+	CG	20	30
1	136505	+	CG	24	35
1	136531	+	CG	14	25
1	136554	+	CG	29	38
1	136571	+	CG	19	31
1	136621	+	CG	19	35
1	136643	+	CG	21	31
1	136665	+	CG	17	28
1	136693	+	CG	14	21
1	136793	+	CG	13	18
1	136893	+	CG	21	30
1	136993	+	CG	20	31
1	137093	+	CG	16	28
1	137143	+	CG	16	32
1	137243	+	CG	18	31
1	137306	+	CG	22	38
1	137320	+	CG	19	28
1	137406	+	CG	21	31
1	137408	+	CG	22	25
1	137456	+	CG	26	32
1	137664	+	CG	27	30
1	137718	+	CG	26	28
1	137798	+	CG	24	33
1	137831	+	CG	24	33
1	137881	+	CG	19	29
1	137931	+	CG	26	40
1	137981	+	CG	15	24
1	138010	+	CG	35	46
1	138034	+	CG	18	30
1	138067	+	CG	18	34
1	138113	+	CG	25	37
1	138163	+	CG	16	30
1	138185	+	CG	22	28
1	138235	+	CG	18	35
1	138268	+	CG	11	17
1	138368	+	CG	16	32
1	138468	+	CG	26	33
1	138568	+	CG	15	25
1	138668	+	CG	12	26
1	138686	+	CG	19	26
1	138736	+	CG	18	23
1	138760	+	CG	21	29
1	138775	+	CG	16	33
1	138803	+	CG	21	32
1	138853	+	CG	27	37
1	138903	+	CG	23	37
1	138933	+	CG	13	27
1	138951	+	CG	14	32
1	138966	+	CG	18	28
1	139013	+	CG	13	29
1	139036	+	CG	30	40
1	139077	+	CG	23	35
1	139127	+	CG	24	35
1	139147	+	CG	24	34
1	139172	+	CG	19	36
1	139222	+	CG	18	37
1	139249	+	CG	14	25
1	139289	+	CG	14	24
1	139297	+	CG	14	28
1	139347	+	CG	22	34
1	139447	+	CG	16	28
1	139547	+	CG	19	40
1	139647	+	CG	17	24
1	139747	+	CG	29	43
1	139809	+	CG	15	27
1	139831	+	CG	24	30
1	139855	+	CG	25	28
1	139905	+	CG	15	24
1	139923	+	CG	15	22
1	139952	+	CG	17	27
1	139975	+	CG	18	28
1	139999	+	CG	15	22
1	140035	+	CG	20	33
1	140056	+	CG	25	32
1	140083	+	CG	16	25
1	140104	+	CG	28	33
1	140145	+	CG	16	22
1	140195	+	CG	27	31
1	140245	+	CG	17	28
1	140264	+	CG	13	19
1	140288	+	CG	20	37
1	140317	+	CG	17	29
1	140332	+	CG	24	28
1	140344	+	CG	14	23
1	140444	+	CG	19	30
1	140543	+	CG	19	26
1	140637	+	CG	17	24
1	140704	+	CG	17	28
1	140785	+	CG	35	40
1	140815	+	CG	27	31
1	140821	+	CG	10	34
1	140860	+	CG	12	28
1	140890	+	CG	4	31
1	140915	+	CG	6	22
1	140965	+	CG	7	31
1	140991	+	CG	9	39
1	141041	+	CG	2	25
1	141071	+	CG	12	31
1	141091	+	CG	18	39
1	141106	+	CG	8	38
1	141156	+	CG	9	28
1	141204	+	CG	7	33
1	141249	+	CG	6	32
1	141299	+	CG	12	38
1	141345	+	CG	5	31
1	141395	+	CG	4	22
1	141445	+	CG	10	34
1	141529	+	CG	10	24
1	141629	+	CG	9	26
1	141729	+	CG	7	39
1	141829	+	CG	9	32
1	141897	+	CG	1	20
1	141951	+	CG	2	31
1	142019	+	CG	3	20
1	142123	+	CG	2	29
1	142157	+	CG	2	33
1	142203	+	CG	18	27
1	142229	+	CG	13	24
1	142244	+	CG	21	28
1	142272	+	CG	32	39
1	142315	+	CG	19	24
1	142365	+	CG	15	22
1	142380	+	CG	16	27
1	142399	+	CG	22	30
1	142428	+	CG	15	30
1	142478	+	CG	17	32
1	142493	+	CG	21	30
1	142509	+	CG	28	37
1	142531	+	CG	14	24
1	142546	+	CG	18	30
1	142561	+	CG	24	33
1	142611	+	CG	21	27
1	142635	+	CG	16	23
1	142655	+	CG	21	35
1	142670	+	CG	12	26
1	142697	+	CG	15	31
1	142718	+	CG	19	33
1	142726	+	CG	18	28
1	142776	+	CG	12	20
1	142865	+	CG	19	29
1	142951	+	CG	22	33
1	143051	+	CG	23	31
1	143131	+	CG	17	27
1	143231	+	CG	23	33
1	143243	+	CG	11	20
1	143253	+	CG	11	27
1	143295	+	CG	13	27
1	143323	+	CG	15	24
1	143341	+	CG	7	26
1	143358	+	CG	10	24
1	143393	+	CG	12	31
1	143440	+	CG	14	29
1	143472	+	CG	12	34
1	143509	+	CG	17	30
1	143551	+	CG	15	43
1	143575	+	CG	18	36
1	143613	+	CG	15	33
1	143652	+	CG	13	33
1	143669	+	CG	6	20
1	143702	+	CG	7	26
1	143739	+	CG	14	30
1	143772	+	CG	8	18
1	143872	+	CG	11	36
1	143972	+	CG	11	26
1	144072	+	CG	15	36
1	144172	+	CG	12	32
1	144272	+	CG	15	31
