chr	start	end	methylation_level
chr1	228803	228804	0.3665
chr1	229100	229101	0.5771
chr1	229181	229182	0.4093
chr1	230325	230326	0.734
chr1	230455	230456	0.7956
chr1	230730	230731	0.8404
chr1	230992	230993	0.56
chr1	231289	231290	0.8567
chr1	231368	231369	0.7866
chr1	233126	233127	0.5979
chr1	233242	233243	0.5399
chr1	233681	233682	0.3397
chr1	233920	233921	0.501
chr1	234002	234003	0.5296
chr1	245156	245157	0.5229
chr1	245398	245399	0.1266
chr1	245489	245490	0.3311
chr1	245888	245889	0.24
chr1	246022	246023	0.2632
chr1	248705	248706	0.2354
chr1	248896	248897	0.2912
chr1	249042	249043	0.1854
chr1	249540	249541	0.1975
chr1	251676	251677	0.3193
chr1	251720	251721	0.4033
chr1	251748	251749	0.5102
chr1	251789	251790	0.3552
chr1	254918	254919	0.9247
chr1	255363	255364	0.6832
chr1	255757	255758	0.9382
chr1	255817	255818	0.849
chr1	262383	262384	0.6034
chr1	262462	262463	0.6963
chr1	262799	262800	0.7573
chr1	263060	263061	0.5634
chr1	264968	264969	0.7877
chr1	265451	265452	0.7856
chr1	265690	265691	0.8064
chr1	265751	265752	0.77
chr1	265809	265810	0.8492
chr1	271530	271531	0.7571
chr1	271969	271970	0.8732
chr1	272182	272183	0.7879
chr1	272284	272285	0.8146
chr1	272357	272358	0.8592
