chr	start	end	methylation_level
chr1	180614	180615	0.639
chr1	180877	180878	0.311
chr1	181075	181076	0.4871
chr1	182108	182109	0.2693
chr1	182245	182246	0.1222
chr1	182705	182706	0.1894
chr1	183071	183072	0.4674
chr1	189232	189233	0.0777
chr1	189507	189508	0.9564
chr1	189793	189794	0.9975
chr1	190136	190137	0.9972
chr1	190990	190991	0.388
chr1	191110	191111	0.2991
chr1	191606	191607	0.3868
chr1	191784	191785	0.1489
chr1	192626	192627	0.5476
chr1	192913	192914	0.6758
chr1	193353	193354	0.4917
chr1	194630	194631	0.3515
chr1	195105	195106	0.1049
chr1	195378	195379	0.2685
chr1	195439	195440	0.3553
chr1	196498	196499	0.146
chr1	196545	196546	0.127
chr1	196588	196589	0.2904
chr1	196611	196612	0.1321
chr1	198042	198043	0.5006
chr1	198739	198740	0.5612
chr1	199001	199002	0.5041
chr1	200983	200984	0.3677
chr1	201073	201074	0.3511
chr1	201132	201133	0.2268
chr1	201313	201314	0.3698
chr1	203040	203041	0.5353
chr1	203462	203463	0.2989
chr1	203823	203824	0.3941
chr1	203940	203941	0.4635
chr1	210683	210684	0.387
chr1	210860	210861	0.4002
chr1	210968	210969	0.2915
chr1	211031	211032	0.19
chr1	211554	211555	0.2097
chr1	211635	211636	0.4389
chr1	212381	212382	0.5323
chr1	212682	212683	0.3168
chr1	212834	212835	0.2772
chr1	212946	212947	0.4665
chr1	214060	214061	0.747
chr1	214475	214476	0.7724
chr1	214752	214753	0.63
chr1	214846	214847	0.7351
chr1	215070	215071	0.6575
chr1	216962	216963	0.7082
chr1	216998	216999	0.7378
chr1	217018	217019	0.4737
chr1	217098	217099	0.6043
chr1	217145	217146	0.6244
chr1	217246	217247	0.4146
chr1	217271	217272	0.592
chr1	217321	217322	0.5417
chr1	217330	217331	0.5157
chr1	217344	217345	0.6128
chr1	217354	217355	0.643
chr1	217371	217372	0.7362
chr1	217404	217405	0.5686
chr1	217407	217408	0.4849
chr1	217432	217433	0.4091
chr1	217469	217470	0.455
chr1	217507	217508	0.6983
chr1	217532	217533	0.3598
chr1	217563	217564	0.3824
chr1	217600	217601	0.6565
chr1	217610	217611	0.4609
chr1	217651	217652	0.6093
chr1	217664	217665	0.626
chr1	217712	217713	0.7208
chr1	217759	217760	0.6327
chr1	217807	217808	0.5152
chr1	217874	217875	0.3405
chr1	217930	217931	0.5773
chr1	217968	217969	0.6015
chr1	217974	217975	0.6029
chr1	217984	217985	0.5713
chr1	218006	218007	0.6037
chr1	218018	218019	0.4021
chr1	218020	218021	0.6699
chr1	218853	218854	0.7391
chr1	219080	219081	0.74
chr1	219395	219396	0.4476
chr1	219590	219591	0.6667
chr1	219748	219749	0.5724
chr1	222887	222888	0.7513
chr1	223359	223360	0.8236
chr1	223851	223852	0.6137
chr1	223908	223909	0.6233
chr1	223968	223969	0.6178
chr1	224018	224019	0.7384
chr1	225711	225712	0.2921
chr1	225749	225750	0.2088
chr1	225777	225778	0.2304
chr1	225818	225819	0.4046
chr1	228221	228222	0.2986
chr1	228599	228600	0.3902
chr1	228803	228804	0.4015
chr1	229100	229101	0.6619
chr1	229181	229182	0.3836
chr1	230325	230326	0.6074
chr1	230730	230731	0.812
chr1	230992	230993	0.6103
chr1	231289	231290	0.8242
chr1	231368	231369	0.7415
chr1	233126	233127	0.5499
chr1	233242	233243	0.5566
chr1	233681	233682	0.4311
chr1	233920	233921	0.5022
chr1	234002	234003	0.5475
chr1	245156	245157	0.5287
chr1	245398	245399	0.1558
chr1	245489	245490	0.3304
chr1	245888	245889	0.2411
chr1	246022	246023	0.2941
chr1	248705	248706	0.2312
chr1	248896	248897	0.2853
chr1	249042	249043	0.1233
chr1	249540	249541	0.2848
chr1	251676	251677	0.3372
chr1	251720	251721	0.3565
chr1	251748	251749	0.5153
chr1	251789	251790	0.4205
chr1	254918	254919	0.9136
chr1	255363	255364	0.7207
chr1	255757	255758	0.855
chr1	255817	255818	0.8131
chr1	262383	262384	0.5898
chr1	262462	262463	0.7461
chr1	262799	262800	0.7344
chr1	264968	264969	0.7395
chr1	265451	265452	0.8645
chr1	265690	265691	0.7644
chr1	265751	265752	0.6882
chr1	265809	265810	0.8158
chr1	271530	271531	0.7752
chr1	271969	271970	0.7927
chr1	272182	272183	0.8083
chr1	272284	272285	0.7774
chr1	272357	272358	0.8515
